Diet_type,Cuisine_type,Protein(g),Carbs(g),Fat(g),Cluster
caribbean,american,5.219999999999999,1.289999999999992,3.200000000000003,5
caribbean,south east asian,181.55,28.620000000000005,146.14,2
caribbean,american,30.909999999999997,302.59,96.76,5
caribbean,mexican,9.620000000000005,75.78,59.89,8
caribbean,chinese,39.84,54.08,71.55,6
caribbean,mediterranean,68.62,34.15000000000002,42.44,8
caribbean,american,30.03,275.88,97.68,5
caribbean,italian,4.25,14.150000000000006,72.9,6
caribbean,french,152.88,1874.52,385.8,6
caribbean,south east asian,602.91,274.87,400.01,7
caribbean,mexican,44.62,28.66000000000001,78.46,8
caribbean,american,61.43,13.289999999999992,24.60000000000001,5
caribbean,american,46.69,192.54,156.48,5
caribbean,american,54.09,34.97,14.099999999999994,5
caribbean,american,51.24,89.63,78.38,5
caribbean,french,64.29,263.65,176.36,6
caribbean,american,320.76,28.36,252.82,5
caribbean,american,46.92,39.94,19.60000000000001,5
caribbean,american,185.99,47.81999999999999,260.64,5
caribbean,french,15.730000000000004,15.909999999999997,49.16,6
caribbean,american,59.86,567.39,320.76,4
caribbean,american,82.1,4.75,20.239999999999995,5
caribbean,american,54.7,503.39,320.12,4
caribbean,indian,167.07,55.109999999999985,210.14,6
caribbean,french,78.59,290.1,84.95,6
caribbean,mediterranean,28.67,64.13,37.709999999999994,8
caribbean,south east asian,12.159999999999997,85.78,2.9099999999999966,2
caribbean,american,17.849999999999994,215.69,304.25,5
caribbean,nordic,49.84,17.19999999999999,75.62,2
caribbean,french,78.59,290.1,84.95,6
caribbean,eastern europe,87.32,258.25,259.21,6
caribbean,central europe,44.05,429.69,162.78,5
caribbean,american,16.480000000000004,32.46000000000001,91.36,5
caribbean,eastern europe,15.5,12.780000000000001,23.290000000000006,6
caribbean,kosher,16.11,236.88,3.8599999999999994,8
caribbean,american,39.73,169.01,117.95,5
caribbean,american,82.45,271.48,204.91,5
caribbean,american,14.189999999999998,85.18,150.26,5
caribbean,french,27.380000000000003,9.569999999999993,61.87,6
caribbean,french,39.58,126.88,97.83,6
caribbean,american,36.27,182.51,105.1,5
caribbean,american,87.32,258.25,259.24,5
caribbean,american,27.17,116.73,125.14,5
caribbean,american,85.97,271.68,207.57,5
caribbean,american,193.11,83.93,227.24,5
caribbean,italian,123.47,75.65,235.87,6
caribbean,chinese,37.54,56.92,53.88000000000001,6
caribbean,american,7.269999999999996,112.19,269.91,5
caribbean,italian,172.17,186.26,467.17,6
caribbean,american,20.15,24.960000000000008,111.99,5
caribbean,american,189.35,143.25,300.66,5
caribbean,american,56.39,43.00999999999999,143.87,5
caribbean,british,10.480000000000004,19.560000000000002,12.5,5
caribbean,american,83.82,384.27,324.34,4
caribbean,american,118.36,6.539999999999992,61.57,5
caribbean,french,9.909999999999997,99.09,110.51,6
caribbean,american,46.07,261.6,147.5,5
caribbean,french,60.19,112.58,52.61,6
caribbean,american,68.21,199.96,161.13,5
caribbean,mexican,32.449999999999996,24.269999999999996,31.049999999999997,8
caribbean,eastern europe,90.83,258.46,261.91,6
caribbean,american,49.0,412.09,116.03,5
caribbean,nordic,161.95,1.1699999999999875,160.83,2
caribbean,french,20.230000000000004,126.01,153.36,6
caribbean,caribbean,88.79,32.66,55.580000000000005,5
caribbean,american,9.650000000000006,42.629999999999995,83.92,5
caribbean,italian,80.95,6.340000000000003,113.98,6
caribbean,mediterranean,123.17,61.52000000000001,107.7,8
caribbean,american,47.89,285.93,93.75,5
caribbean,caribbean,26.68,80.75,35.36999999999999,5
caribbean,eastern europe,145.6,102.25,144.33,6
caribbean,italian,100.74,92.07,360.57,6
caribbean,american,107.7,68.02,28.689999999999998,5
caribbean,american,65.19,17.090000000000003,69.97,5
caribbean,mediterranean,102.5,38.41,98.85,8
caribbean,mexican,268.9200000000001,128.88,334.28,7
caribbean,american,21.03000000000001,25.010000000000005,112.66,5
caribbean,american,189.35,143.25,300.66,5
caribbean,french,71.11,159.31,147.25,6
caribbean,french,10.159999999999997,105.7,110.51,6
caribbean,american,46.07,261.6,147.5,5
caribbean,american,43.97,104.37,160.83,5
caribbean,american,3.760000000000005,23.939999999999998,80.65,5
caribbean,american,210.45,139.56,272.52,5
caribbean,french,362.76,16.829999999999984,64.04,6
caribbean,american,258.66,55.59,103.91,5
caribbean,american,197.94,70.1,110.07,5
caribbean,italian,128.54,366.81,166.72,6
caribbean,french,23.56000000000001,39.05,42.25,6
caribbean,italian,2.8100000000000023,1.1100000000000136,112.61,6
caribbean,american,10.730000000000004,15.5,49.290000000000006,5
caribbean,italian,141.27,55.82000000000001,198.73,6
caribbean,american,98.56,191.3,176.93,5
caribbean,mediterranean,26.68,80.75,35.36999999999999,8
caribbean,british,121.84,413.93,317.39,4
caribbean,chinese,28.760000000000005,50.00999999999999,48.09,6
caribbean,american,200.82,153.82,102.62,5
caribbean,french,9.819999999999993,214.27,3.0400000000000063,6
caribbean,mediterranean,150.18,41.36,123.75,8
caribbean,french,244.29,69.44,249.89999999999998,6
caribbean,american,32.24,250.87,139.25,5
caribbean,french,31.229999999999997,74.97,116.67,6
caribbean,nordic,155.95,49.31,150.25,2
caribbean,italian,32.32,157.39,194.11,6
caribbean,american,430.2,138.37,178.17,4
caribbean,italian,1273.61,83.34,1608.54,7
caribbean,american,32.74999999999999,22.670000000000016,2.450000000000003,5
caribbean,american,36.0,142.79,107.74,5
caribbean,italian,128.33,154.22,125.77,6
caribbean,nordic,65.78,96.23000000000002,130.86,2
caribbean,french,152.56,53.59000000000002,205.36,6
caribbean,american,283.7,78.55,252.09999999999997,5
caribbean,nordic,6.450000000000003,66.8,42.58,2
caribbean,south east asian,104.17,82.97,64.82,2
caribbean,american,12.769999999999996,112.92,56.84,5
caribbean,american,73.83,185.59,307.46,5
caribbean,american,197.91,312.15,371.50000000000006,4
caribbean,italian,102.47,51.64,54.81999999999999,6
caribbean,american,14.260000000000005,79.07,109.53,5
caribbean,american,7.680000000000007,89.2,14.379999999999995,5
caribbean,south american,4.400000000000006,56.18999999999998,28.840000000000003,2
caribbean,american,3.3400000000000034,48.530000000000015,13.599999999999994,5
caribbean,american,213.63,149.66,298.56,5
caribbean,american,135.99,193.85,232.95,5
caribbean,french,12.210000000000008,151.95,98.75,6
caribbean,american,62.76,194.9,266.67,5
caribbean,nordic,86.31,11.169999999999987,66.45,2
caribbean,italian,86.07,84.94,43.040000000000006,6
caribbean,middle eastern,35.36,6.759999999999991,133.82,8
caribbean,middle eastern,283.65,89.98999999999998,306.29,7
caribbean,italian,39.32,88.7,50.97,6
caribbean,south american,19.180000000000007,134.0,138.71,2
caribbean,american,122.69,96.81,51.14999999999999,5
caribbean,nordic,32.410000000000004,17.25,24.489999999999995,2
caribbean,american,122.78,147.94,51.84,5
caribbean,chinese,107.67,31.950000000000003,70.25,6
caribbean,chinese,46.62,82.76,53.47,6
caribbean,american,121.29,69.51,49.55,5
caribbean,american,68.73,266.84,183.04,5
caribbean,british,0.3199999999999932,6.539999999999992,11.650000000000006,5
caribbean,mexican,4.939999999999998,33.55,1.1099999999999994,8
caribbean,american,97.78,239.78,356.65,5
caribbean,french,41.9,64.07,37.95,6
caribbean,american,9.950000000000003,64.53,19.560000000000002,5
caribbean,american,97.94,217.78,168.32,5
caribbean,mediterranean,133.92,12.879999999999995,92.88,8
caribbean,american,55.09,283.94,5.019999999999996,5
caribbean,asian,69.61,44.66,128.44,5
caribbean,american,349.89,10.569999999999993,130.34,5
caribbean,mediterranean,36.98,40.41999999999999,58.68,8
caribbean,south east asian,92.67,357.52,68.86,2
caribbean,american,191.06,25.060000000000002,137.85,5
caribbean,mediterranean,35.81000000000001,127.03,62.87,8
caribbean,italian,242.69,59.620000000000005,607.18,7
caribbean,american,72.45,479.49,468.3,4
caribbean,italian,118.65,300.0,107.45,6
caribbean,french,392.64,12.509999999999991,472.92,6
caribbean,italian,66.67,180.22,111.67,6
caribbean,british,68.86,309.13,384.74,4
